Fecha,Nivel(m)
2023-05-10,443.73
2024-03-05,441.18
2024-06-20,3.5
2019-09-05,2.4
2022-09-05,2.4
2020-07-27,2.0
2024-06-21,1.7
2017-09-29,1.6
2021-10-16,1.6
2024-07-12,1.3
2017-03-08,1.05
2024-06-22,1.0
2024-06-23,0.9
2024-10-17,0.88
2018-09-28,0.86
2024-10-18,0.86
2024-07-02,0.85
2024-06-25,0.79
2018-10-02,0.78
2024-06-26,0.78
2024-06-24,0.77
2017-09-30,0.72
2018-09-29,0.72
2022-09-06,0.7
2024-06-27,0.7
2024-07-13,0.7
2023-07-10,0.68
2017-10-07,0.67
2024-07-01,0.67
2022-09-07,0.66
2024-07-03,0.66
2024-07-04,0.66
2024-07-14,0.65
2020-07-29,0.64
2024-06-28,0.64
2024-09-05,0.64
2017-05-29,0.63
2024-07-15,0.63
2017-10-05,0.62
2018-10-03,0.62
2018-05-21,0.6
2023-04-12,0.6
2024-07-16,0.6
2024-10-19,0.6
2024-06-29,0.59
2024-09-07,0.59
2017-10-01,0.58
2017-10-08,0.58
2017-04-12,0.56
2017-10-11,0.56
2018-10-04,0.56
2017-10-09,0.55
2017-05-04,0.54
2017-10-02,0.54
2017-10-16,0.54
2017-10-04,0.53
2017-10-12,0.53
2019-09-06,0.53
2024-06-30,0.53
2024-07-17,0.53
2017-10-10,0.52
2020-07-28,0.52
2017-10-13,0.51
2017-10-03,0.5
2017-10-14,0.5
2018-09-10,0.5
2018-10-05,0.5
2024-07-24,0.5
2017-10-17,0.49
2019-06-11,0.49
2017-10-15,0.48
2018-06-22,0.48
2024-07-06,0.48
2017-10-18,0.47
2024-10-20,0.47
2017-10-19,0.46
2017-10-20,0.46
2017-10-21,0.46
2018-10-06,0.46
2017-05-22,0.45
2017-06-26,0.45
2017-06-27,0.45
2017-10-22,0.45
2019-03-31,0.45
2019-06-25,0.45
2017-10-23,0.44
2018-10-07,0.44
2018-10-08,0.44
2024-07-07,0.44
2017-05-24,0.43
2017-10-24,0.43
2024-07-18,0.43
2024-10-21,0.43
2017-10-25,0.42
2018-10-09,0.42
2018-10-21,0.42
2020-07-30,0.42
2022-08-31,0.42
2022-09-08,0.42
2024-07-19,0.42
